#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5900      2.43e+00    2.47e+00      2.60e-02    2.08e-02      8.82e-02    8.98e-02    7.5e-04
   6000      2.27e+00    2.16e+00      2.71e-02    2.65e-02      8.23e-02    7.82e-02    7.5e-04
   6100      2.33e+00    2.61e+00      4.77e-02    4.20e-02      8.33e-02    9.41e-02    7.5e-04
   6200      2.47e+00    1.90e+00      3.12e-02    3.29e-02      8.94e-02    6.82e-02    7.5e-04
   6300      2.50e+00    2.39e+00      5.03e-03    5.71e-03      9.13e-02    8.74e-02    7.5e-04
   6400      1.96e+00    1.76e+00      1.11e-02    6.66e-03      7.15e-02    6.43e-02    7.5e-04
   6500      2.45e+00    2.06e+00      8.62e-03    1.21e-02      8.92e-02    7.51e-02    7.5e-04
   6600      2.50e+00    2.22e+00      1.31e-02    1.01e-02      9.10e-02    8.09e-02    7.5e-04
   6700      2.27e+00    2.36e+00      7.16e-03    6.87e-03      8.28e-02    8.62e-02    7.5e-04
   6800      2.17e+00    2.40e+00      2.24e-02    1.60e-02      7.88e-02    8.75e-02    7.5e-04
   6900      2.26e+00    2.18e+00      1.06e-02    9.10e-03      8.25e-02    7.94e-02    7.5e-04
   7000      2.13e+00    2.29e+00      3.00e-02    3.17e-02      7.68e-02    8.30e-02    7.5e-04
   7100      2.13e+00    2.23e+00      2.63e-02    2.93e-02      7.71e-02    8.09e-02    7.5e-04
   7200      1.94e+00    2.29e+00      3.16e-02    2.55e-02      7.01e-02    8.31e-02    7.5e-04
   7300      2.33e+00    2.25e+00      1.36e-02    1.79e-02      8.50e-02    8.20e-02    7.5e-04
   7400      2.23e+00    1.88e+00      3.08e-04    9.54e-04      8.14e-02    6.86e-02    7.5e-04
   7500      2.08e+00    1.47e+00      4.47e-03    4.21e-03      7.59e-02    5.37e-02    7.5e-04
   7600      2.10e+00    1.88e+00      1.10e-02    1.04e-02      7.64e-02    6.84e-02    7.5e-04
   7700      1.94e+00    2.12e+00      1.02e-02    8.63e-03      7.09e-02    7.73e-02    7.5e-04
   7800      2.00e+00    2.03e+00      1.62e-03    1.88e-03      7.30e-02    7.41e-02    7.5e-04
   7900      1.84e+00    2.39e+00      6.56e-03    4.34e-04      6.70e-02    8.73e-02    7.5e-04
   8000      2.39e+00    2.16e+00      4.07e-03    1.67e-03      8.71e-02    7.90e-02    7.5e-04
   8100      2.35e+00    2.10e+00      1.26e-02    1.16e-02      8.55e-02    7.65e-02    7.5e-04
   8200      2.12e+00    1.99e+00      1.52e-02    7.23e-03      7.74e-02    7.26e-02    7.5e-04
   8300      2.28e+00    2.04e+00      3.12e-03    1.36e-03      8.34e-02    7.44e-02    7.5e-04
   8400      2.50e+00    2.24e+00      5.68e-03    3.22e-03      9.14e-02    8.18e-02    7.5e-04
   8500      2.44e+00    2.31e+00      1.01e-02    8.55e-03      8.89e-02    8.44e-02    7.5e-04
   8600      1.94e+00    2.19e+00      1.51e-03    5.75e-03      7.09e-02    7.98e-02    7.5e-04
   8700      2.01e+00    2.02e+00      1.38e-02    1.41e-02      7.34e-02    7.36e-02    7.5e-04
   8800      2.07e+00    2.03e+00      8.19e-03    7.81e-03      7.56e-02    7.41e-02    7.5e-04
   8900      2.18e+00    2.02e+00      1.57e-03    6.61e-04      7.96e-02    7.37e-02    7.5e-04
   9000      1.52e+00    1.94e+00      1.33e-02    4.79e-03      5.54e-02    7.10e-02    7.5e-04
   9100      2.11e+00    2.31e+00      3.88e-03    1.38e-03      7.69e-02    8.45e-02    7.5e-04
   9200      2.21e+00    2.00e+00      8.97e-03    5.40e-03      8.07e-02    7.31e-02    7.5e-04
   9300      2.54e+00    2.10e+00      1.55e-02    1.73e-02      9.25e-02    7.64e-02    7.5e-04
   9400      2.01e+00    1.88e+00      3.06e-03    1.24e-03      7.34e-02    6.87e-02    7.5e-04
   9500      2.17e+00    2.30e+00      1.66e-02    1.65e-02      7.90e-02    8.38e-02    7.5e-04
