#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  49800      4.87e-01    4.50e-01      2.73e-03    1.63e-03      5.56e-02    5.15e-02    7.5e-05
  49900      3.90e-01    4.26e-01      3.95e-03    2.94e-03      4.39e-02    4.85e-02    7.5e-05
  50000      3.84e-01    3.78e-01      2.18e-03    2.88e-03      5.05e-02    4.94e-02    5.6e-05
  50100      3.91e-01    3.17e-01      2.79e-03    3.01e-03      5.12e-02    4.12e-02    5.6e-05
  50200      3.78e-01    2.83e-01      9.25e-04    5.67e-04      4.99e-02    3.74e-02    5.6e-05
  50300      3.73e-01    3.56e-01      1.79e-03    7.21e-04      4.91e-02    4.70e-02    5.6e-05
  50400      3.80e-01    4.61e-01      2.70e-03    2.08e-03      4.97e-02    6.07e-02    5.6e-05
  50500      3.60e-01    3.92e-01      8.59e-04    3.12e-04      4.76e-02    5.18e-02    5.6e-05
  50600      3.92e-01    3.82e-01      1.25e-03    2.25e-03      5.18e-02    5.02e-02    5.6e-05
  50700      4.39e-01    3.80e-01      2.71e-03    2.04e-03      5.77e-02    5.00e-02    5.6e-05
  50800      3.90e-01    3.68e-01      5.42e-04    2.33e-03      5.16e-02    4.84e-02    5.6e-05
  50900      4.37e-01    4.26e-01      2.59e-03    2.93e-03      5.75e-02    5.58e-02    5.6e-05
  51000      3.67e-01    3.86e-01      6.87e-04    3.75e-04      4.85e-02    5.10e-02    5.6e-05
  51100      3.74e-01    4.16e-01      6.48e-03    6.14e-03      4.67e-02    5.28e-02    5.6e-05
  51200      3.97e-01    4.05e-01      2.35e-03    2.25e-03      5.22e-02    5.33e-02    5.6e-05
  51300      4.03e-01    4.17e-01      4.94e-03    4.72e-03      5.18e-02    5.38e-02    5.6e-05
  51400      3.23e-01    3.63e-01      6.11e-04    7.77e-04      4.27e-02    4.79e-02    5.6e-05
  51500      3.96e-01    3.55e-01      2.19e-04    9.11e-05      5.23e-02    4.70e-02    5.6e-05
  51600      3.83e-01    3.86e-01      2.08e-03    1.25e-03      5.03e-02    5.10e-02    5.6e-05
  51700      4.08e-01    3.88e-01      4.85e-03    4.90e-03      5.26e-02    4.97e-02    5.6e-05
  51800      3.87e-01    3.69e-01      2.01e-03    2.35e-03      5.10e-02    4.84e-02    5.6e-05
  51900      4.21e-01    3.75e-01      1.97e-04    5.68e-04      5.57e-02    4.96e-02    5.6e-05
  52000      3.57e-01    4.14e-01      5.24e-03    3.65e-03      4.54e-02    5.40e-02    5.6e-05
  52100      4.10e-01    3.80e-01      4.71e-03    4.12e-03      5.29e-02    4.92e-02    5.6e-05
  52200      3.62e-01    4.02e-01      1.18e-03    8.41e-05      4.77e-02    5.31e-02    5.6e-05
  52300      3.80e-01    3.70e-01      1.66e-03    1.68e-03      5.01e-02    4.87e-02    5.6e-05
  52400      3.53e-01    4.44e-01      4.27e-04    4.85e-04      4.66e-02    5.87e-02    5.6e-05
  52500      4.22e-01    3.24e-01      4.20e-03    2.49e-03      5.48e-02    4.24e-02    5.6e-05
  52600      4.08e-01    3.57e-01      4.46e-03    3.02e-03      5.28e-02    4.65e-02    5.6e-05
  52700      3.86e-01    3.82e-01      6.31e-04    8.78e-04      5.10e-02    5.04e-02    5.6e-05
  52800      2.62e-01    4.03e-01      9.33e-04    1.49e-03      3.45e-02    5.31e-02    5.6e-05
  52900      3.98e-01    3.75e-01      2.35e-03    2.01e-03      5.23e-02    4.93e-02    5.6e-05
  53000      3.78e-01    3.40e-01      2.46e-03    2.57e-03      4.96e-02    4.45e-02    5.6e-05
  53100      3.87e-01    3.74e-01      1.32e-03    1.70e-03      5.11e-02    4.93e-02    5.6e-05
  53200      3.66e-01    3.61e-01      9.87e-04    8.10e-04      4.83e-02    4.77e-02    5.6e-05
  53300      3.44e-01    3.76e-01      3.30e-03    3.84e-03      4.48e-02    4.87e-02    5.6e-05
  53400      3.88e-01    3.91e-01      3.29e-03    2.14e-03      5.07e-02    5.14e-02    5.6e-05
  53500      3.96e-01    4.18e-01      7.82e-03    5.74e-03      4.85e-02    5.34e-02    5.6e-05
  53600      4.20e-01    4.38e-01      3.92e-03    2.58e-04      5.47e-02    5.79e-02    5.6e-05
  53700      3.82e-01    3.77e-01      3.92e-03    2.72e-03      4.95e-02    4.94e-02    5.6e-05
  53800      3.63e-01    3.73e-01      3.89e-04    2.12e-03      4.80e-02    4.91e-02    5.6e-05
  53900      3.48e-01    3.99e-01      2.14e-03    1.85e-03      4.58e-02    5.26e-02    5.6e-05
  54000      3.85e-01    3.70e-01      1.22e-03    1.29e-03      5.08e-02    4.88e-02    5.6e-05
  54100      3.91e-01    4.51e-01      1.73e-03    1.67e-03      5.15e-02    5.94e-02    5.6e-05
  54200      3.79e-01    3.83e-01      2.86e-03    1.84e-03      4.96e-02    5.04e-02    5.6e-05
  54300      3.22e-01    4.01e-01      3.19e-03    2.82e-03      4.18e-02    5.26e-02    5.6e-05
  54400      3.84e-01    3.68e-01      9.77e-04    5.56e-04      5.07e-02    4.87e-02    5.6e-05
  54500      4.26e-01    4.03e-01      3.29e-04    3.46e-05      5.63e-02    5.33e-02    5.6e-05
  54600      4.02e-01    3.84e-01      1.08e-03    6.91e-04      5.31e-02    5.08e-02    5.6e-05
  54700      3.54e-01    4.05e-01      4.08e-03    4.51e-03      4.57e-02    5.23e-02    5.6e-05
  54800      3.97e-01    3.63e-01      2.71e-03    1.39e-03      5.21e-02    4.79e-02    5.6e-05
  54900      3.12e-01    3.80e-01      5.08e-03    3.20e-03      3.92e-02    4.96e-02    5.6e-05
  55000      3.30e-01    3.50e-01      6.95e-03    4.53e-03      4.59e-02    5.16e-02    4.2e-05
  55100      2.98e-01    3.18e-01      8.57e-04    1.93e-04      4.54e-02    4.84e-02    4.2e-05
  55200      2.93e-01    3.29e-01      7.31e-04    2.69e-04      4.46e-02    5.01e-02    4.2e-05
  55300      3.56e-01    3.21e-01      1.79e-03    1.37e-03      5.40e-02    4.88e-02    4.2e-05
  55400      2.94e-01    3.00e-01      1.56e-03    5.20e-04      4.45e-02    4.57e-02    4.2e-05
  55500      3.20e-01    3.06e-01      9.22e-04    5.06e-04      4.86e-02    4.66e-02    4.2e-05
  55600      3.30e-01    3.39e-01      9.43e-04    4.96e-04      5.02e-02    5.17e-02    4.2e-05
  55700      3.25e-01    3.08e-01      5.04e-04    2.25e-04      4.94e-02    4.68e-02    4.2e-05
  55800      3.35e-01    3.51e-01      9.91e-04    3.25e-04      5.10e-02    5.34e-02    4.2e-05
  55900      3.45e-01    3.61e-01      2.46e-05    5.85e-04      5.25e-02    5.49e-02    4.2e-05
  56000      3.25e-01    3.15e-01      1.47e-03    5.07e-05      4.93e-02    4.80e-02    4.2e-05
  56100      3.33e-01    3.45e-01      1.83e-03    2.02e-03      5.05e-02    5.21e-02    4.2e-05
  56200      3.03e-01    3.54e-01      4.57e-03    3.17e-03      4.42e-02    5.31e-02    4.2e-05
  56300      2.97e-01    3.33e-01      3.28e-04    3.77e-04      4.52e-02    5.08e-02    4.2e-05
  56400      3.21e-01    3.16e-01      2.69e-03    2.89e-03      4.82e-02    4.73e-02    4.2e-05
  56500      3.28e-01    3.51e-01      3.22e-03    4.12e-03      4.91e-02    5.20e-02    4.2e-05
  56600      2.61e-01    3.28e-01      3.03e-03    3.07e-03      3.88e-02    4.91e-02    4.2e-05
  56700      3.08e-01    3.40e-01      4.49e-05    4.55e-04      4.69e-02    5.17e-02    4.2e-05
  56800      3.29e-01    3.94e-01      1.54e-03    2.73e-04      4.98e-02    6.00e-02    4.2e-05
  56900      3.02e-01    3.16e-01      7.69e-04    1.41e-04      4.60e-02    4.81e-02    4.2e-05
  57000      3.19e-01    3.14e-01      1.05e-03    4.36e-04      4.84e-02    4.77e-02    4.2e-05
  57100      3.26e-01    3.04e-01      2.38e-04    9.52e-04      4.96e-02    4.63e-02    4.2e-05
  57200      3.07e-01    3.17e-01      1.78e-03    2.12e-03      4.65e-02    4.78e-02    4.2e-05
  57300      3.09e-01    3.18e-01      2.41e-03    8.09e-04      4.66e-02    4.84e-02    4.2e-05
  57400      3.01e-01    2.56e-01      1.34e-03    4.63e-04      4.57e-02    3.90e-02    4.2e-05
  57500      3.37e-01    3.56e-01      6.81e-03    6.07e-03      4.73e-02    5.13e-02    4.2e-05
  57600      3.41e-01    3.05e-01      5.94e-04    3.94e-04      5.20e-02    4.65e-02    4.2e-05
  57700      2.97e-01    3.42e-01      2.84e-03    1.74e-03      4.44e-02    5.18e-02    4.2e-05
  57800      3.24e-01    3.08e-01      2.89e-04    1.73e-03      4.93e-02    4.66e-02    4.2e-05
  57900      3.38e-01    3.21e-01      1.55e-03    1.02e-03      5.13e-02    4.87e-02    4.2e-05
  58000      3.19e-01    2.61e-01      6.52e-05    1.05e-03      4.86e-02    3.96e-02    4.2e-05
  58100      3.53e-01    3.02e-01      2.14e-03    1.92e-03      5.34e-02    4.56e-02    4.2e-05
  58200      3.23e-01    3.35e-01      7.67e-04    1.17e-03      4.92e-02    5.10e-02    4.2e-05
  58300      3.21e-01    3.55e-01      3.76e-03    2.70e-03      4.76e-02    5.35e-02    4.2e-05
  58400      3.24e-01    3.48e-01      2.39e-04    9.31e-04      4.93e-02    5.29e-02    4.2e-05
  58500      3.34e-01    3.32e-01      1.86e-03    1.46e-03      5.05e-02    5.04e-02    4.2e-05
  58600      3.04e-01    3.99e-01      2.95e-03    1.69e-03      4.55e-02    6.05e-02    4.2e-05
  58700      3.69e-01    2.91e-01      2.01e-03    4.74e-04      5.58e-02    4.44e-02    4.2e-05
  58800      3.39e-01    3.19e-01      1.22e-04    1.42e-03      5.16e-02    4.84e-02    4.2e-05
  58900      3.37e-01    3.13e-01      1.15e-03    1.96e-04      5.11e-02    4.76e-02    4.2e-05
  59000      3.55e-01    3.08e-01      7.45e-05    1.87e-03      5.40e-02    4.66e-02    4.2e-05
  59100      3.49e-01    4.00e-01      4.70e-03    5.41e-03      5.14e-02    5.88e-02    4.2e-05
  59200      3.51e-01    3.49e-01      2.12e-03    1.40e-03      5.31e-02    5.30e-02    4.2e-05
  59300      3.23e-01    3.00e-01      2.96e-03    2.52e-03      4.84e-02    4.52e-02    4.2e-05
  59400      3.38e-01    3.87e-01      6.35e-03    8.51e-03      4.81e-02    5.35e-02    4.2e-05
  59500      2.99e-01    3.47e-01      1.45e-03    5.76e-04      4.54e-02    5.28e-02    4.2e-05
  59600      3.45e-01    3.00e-01      3.38e-03    1.03e-03      5.16e-02    4.55e-02    4.2e-05
  59700      3.19e-01    3.23e-01      3.80e-03    1.95e-03      4.73e-02    4.88e-02    4.2e-05
  59800      3.15e-01    3.37e-01      3.57e-03    3.84e-03      4.67e-02    5.00e-02    4.2e-05
  59900      2.73e-01    3.10e-01      1.61e-03    1.87e-03      4.14e-02    4.68e-02    4.2e-05
  60000      2.87e-01    2.67e-01      3.74e-04    1.64e-03      5.02e-02    4.64e-02    3.2e-05
  60100      3.10e-01    2.70e-01      5.56e-04    5.74e-04      5.44e-02    4.73e-02    3.2e-05
  60200      3.07e-01    2.51e-01      2.42e-03    1.51e-03      5.32e-02    4.37e-02    3.2e-05
  60300      3.84e-01    3.02e-01      1.24e-03    7.86e-05      6.71e-02    5.29e-02    3.2e-05
  60400      2.77e-01    3.11e-01      9.78e-04    1.19e-03      4.84e-02    5.43e-02    3.2e-05
  60500      2.95e-01    2.87e-01      3.09e-03    2.92e-03      5.07e-02    4.93e-02    3.2e-05
  60600      3.20e-01    2.70e-01      2.75e-03    3.66e-03      5.52e-02    4.57e-02    3.2e-05
  60700      2.90e-01    2.94e-01      1.93e-03    1.05e-03      5.04e-02    5.14e-02    3.2e-05
  60800      3.02e-01    3.20e-01      3.58e-03    9.59e-04      5.15e-02    5.60e-02    3.2e-05
  60900      2.72e-01    2.89e-01      7.06e-04    9.77e-04      4.76e-02    5.06e-02    3.2e-05
  61000      2.69e-01    2.51e-01      2.32e-03    1.66e-03      4.65e-02    4.37e-02    3.2e-05
  61100      2.65e-01    2.69e-01      6.81e-05    4.47e-04      4.65e-02    4.72e-02    3.2e-05
  61200      3.10e-01    3.17e-01      1.47e-03    1.73e-03      5.41e-02    5.53e-02    3.2e-05
  61300      2.81e-01    2.83e-01      2.77e-03    7.19e-04      4.83e-02    4.94e-02    3.2e-05
  61400      3.12e-01    3.09e-01      5.54e-03    5.77e-03      5.13e-02    5.05e-02    3.2e-05
  61500      2.93e-01    2.34e-01      2.22e-03    3.57e-03      5.07e-02    3.92e-02    3.2e-05
  61600      2.82e-01    2.96e-01      2.99e-03    1.18e-03      4.83e-02    5.17e-02    3.2e-05
  61700      2.59e-01    2.78e-01      1.09e-03    1.52e-03      4.53e-02    4.85e-02    3.2e-05
  61800      2.56e-01    3.35e-01      1.19e-03    1.07e-03      4.47e-02    5.85e-02    3.2e-05
  61900      2.79e-01    3.15e-01      1.78e-03    1.32e-03      4.86e-02    5.50e-02    3.2e-05
  62000      2.44e-01    2.71e-01      1.31e-03    6.33e-04      4.25e-02    4.74e-02    3.2e-05
  62100      2.86e-01    2.83e-01      3.63e-03    1.82e-03      4.86e-02    4.91e-02    3.2e-05
  62200      2.94e-01    2.64e-01      1.50e-03    6.44e-04      5.13e-02    4.62e-02    3.2e-05
  62300      2.69e-01    2.69e-01      5.98e-05    5.21e-04      4.71e-02    4.71e-02    3.2e-05
  62400      2.47e-01    3.31e-01      1.26e-03    2.45e-04      4.30e-02    5.81e-02    3.2e-05
  62500      3.10e-01    2.51e-01      1.71e-04    6.70e-04      5.43e-02    4.39e-02    3.2e-05
  62600      3.07e-01    3.66e-01      6.79e-03    5.07e-03      4.86e-02    6.18e-02    3.2e-05
  62700      3.06e-01    3.02e-01      1.58e-03    8.11e-04      5.33e-02    5.28e-02    3.2e-05
  62800      2.93e-01    2.57e-01      4.48e-04    4.82e-05      5.14e-02    4.49e-02    3.2e-05
  62900      2.54e-01    2.92e-01      1.30e-03    2.71e-04      4.42e-02    5.11e-02    3.2e-05
  63000      3.02e-01    2.53e-01      3.77e-03    2.24e-03      5.14e-02    4.36e-02    3.2e-05
  63100      3.21e-01    2.50e-01      2.99e-03    1.49e-03      5.53e-02    4.36e-02    3.2e-05
  63200      3.10e-01    3.28e-01      3.65e-03    2.77e-03      5.28e-02    5.68e-02    3.2e-05
  63300      2.50e-01    2.73e-01      2.02e-03    7.31e-04      4.33e-02    4.77e-02    3.2e-05
  63400      2.87e-01    2.79e-01      7.65e-04    1.10e-03      5.02e-02    4.87e-02    3.2e-05
  63500      2.68e-01    2.63e-01      1.82e-03    2.68e-03      4.65e-02    4.51e-02    3.2e-05
  63600      3.08e-01    2.00e-01      1.11e-03    1.60e-04      5.39e-02    3.51e-02    3.2e-05
  63700      3.16e-01    2.86e-01      3.09e-03    1.48e-03      5.44e-02    4.98e-02    3.2e-05
  63800      2.74e-01    2.67e-01      2.26e-03    2.48e-03      4.74e-02    4.60e-02    3.2e-05
  63900      2.55e-01    2.87e-01      2.67e-03    3.15e-03      4.37e-02    4.91e-02    3.2e-05
  64000      4.13e-01    2.68e-01      3.10e-03    2.92e-03      7.16e-02    4.60e-02    3.2e-05
  64100      2.97e-01    2.95e-01      2.34e-03    9.41e-04      5.15e-02    5.15e-02    3.2e-05
  64200      2.65e-01    3.24e-01      3.66e-03    3.00e-03      4.48e-02    5.59e-02    3.2e-05
  64300      3.09e-01    3.13e-01      8.19e-03    7.19e-03      4.65e-02    4.91e-02    3.2e-05
  64400      2.89e-01    3.15e-01      8.92e-04    7.81e-05      5.05e-02    5.52e-02    3.2e-05
  64500      2.89e-01    2.10e-01      1.35e-03    4.66e-04      5.04e-02    3.68e-02    3.2e-05
  64600      2.94e-01    2.91e-01      4.23e-03    3.33e-03      4.95e-02    4.96e-02    3.2e-05
  64700      2.61e-01    3.20e-01      2.66e-03    1.66e-03      4.48e-02    5.57e-02    3.2e-05
  64800      2.91e-01    2.99e-01      9.89e-04    1.26e-03      5.09e-02    5.23e-02    3.2e-05
  64900      3.10e-01    2.99e-01      8.11e-04    2.08e-04      5.42e-02    5.23e-02    3.2e-05
  65000      2.57e-01    2.58e-01      8.68e-04    2.60e-04      5.15e-02    5.20e-02    2.4e-05
  65100      2.45e-01    2.53e-01      2.70e-03    2.78e-03      4.81e-02    4.98e-02    2.4e-05
  65200      3.72e-01    2.45e-01      1.14e-03    1.26e-03      7.47e-02    4.91e-02    2.4e-05
  65300      2.30e-01    2.33e-01      1.40e-03    1.73e-03      4.61e-02    4.63e-02    2.4e-05
  65400      2.63e-01    2.37e-01      4.41e-04    6.32e-04      5.30e-02    4.75e-02    2.4e-05
  65500      2.60e-01    2.38e-01      2.29e-03    4.49e-04      5.15e-02    4.78e-02    2.4e-05
  65600      3.20e-01    2.45e-01      7.92e-05    1.34e-03      6.44e-02    4.90e-02    2.4e-05
  65700      2.25e-01    2.66e-01      1.06e-03    1.90e-03      4.51e-02    5.29e-02    2.4e-05
  65800      2.65e-01    2.42e-01      1.03e-03    1.44e-03      5.32e-02    4.84e-02    2.4e-05
  65900      2.34e-01    2.09e-01      6.89e-04    1.59e-03      4.70e-02    4.16e-02    2.4e-05
  66000      2.52e-01    2.56e-01      1.72e-03    6.59e-05      5.02e-02    5.14e-02    2.4e-05
  66100      2.54e-01    2.41e-01      1.13e-03    6.70e-04      5.08e-02    4.84e-02    2.4e-05
  66200      2.48e-01    2.49e-01      8.10e-04    1.56e-03      4.99e-02    4.97e-02    2.4e-05
  66300      1.99e-01    2.86e-01      2.71e-03    9.02e-04      3.86e-02    5.74e-02    2.4e-05
  66400      2.57e-01    2.85e-01      1.56e-04    5.36e-04      5.17e-02    5.74e-02    2.4e-05
  66500      2.57e-01    2.51e-01      4.55e-05    1.20e-03      5.18e-02    5.02e-02    2.4e-05
  66600      2.25e-01    2.69e-01      2.12e-03    1.37e-03      4.46e-02    5.38e-02    2.4e-05
  66700      2.67e-01    2.58e-01      8.70e-05    5.20e-05      5.36e-02    5.20e-02    2.4e-05
  66800      2.50e-01    2.63e-01      3.35e-04    5.65e-04      5.02e-02    5.30e-02    2.4e-05
  66900      2.37e-01    2.44e-01      2.75e-03    8.41e-04      4.65e-02    4.89e-02    2.4e-05
  67000      2.33e-01    2.46e-01      1.27e-03    6.16e-04      4.67e-02    4.95e-02    2.4e-05
  67100      2.32e-01    2.92e-01      6.89e-05    4.72e-04      4.68e-02    5.88e-02    2.4e-05
  67200      2.83e-01    1.70e-01      3.21e-04    3.43e-05      5.70e-02    3.41e-02    2.4e-05
  67300      2.64e-01    2.63e-01      1.25e-03    1.27e-03      5.28e-02    5.28e-02    2.4e-05
  67400      2.61e-01    2.88e-01      1.58e-03    4.37e-04      5.22e-02    5.80e-02    2.4e-05
  67500      2.57e-01    2.30e-01      7.70e-04    2.54e-04      5.15e-02    4.62e-02    2.4e-05
  67600      2.34e-01    2.22e-01      1.82e-03    1.23e-03      4.66e-02    4.43e-02    2.4e-05
  67700      2.40e-01    2.22e-01      2.15e-04    7.24e-04      4.83e-02    4.45e-02    2.4e-05
  67800      2.69e-01    2.66e-01      4.57e-03    2.01e-03      5.11e-02    5.29e-02    2.4e-05
  67900      3.01e-01    2.64e-01      9.17e-04    4.82e-04      6.04e-02    5.32e-02    2.4e-05
  68000      2.55e-01    2.43e-01      1.97e-03    1.20e-03      5.08e-02    4.87e-02    2.4e-05
  68100      2.50e-01    2.21e-01      1.73e-04    5.65e-06      5.03e-02    4.44e-02    2.4e-05
  68200      2.49e-01    2.51e-01      3.41e-03    3.00e-03      4.84e-02    4.91e-02    2.4e-05
  68300      2.48e-01    2.05e-01      4.74e-04    7.46e-04      4.98e-02    4.11e-02    2.4e-05
  68400      2.24e-01    2.74e-01      8.17e-04    2.37e-04      4.50e-02    5.51e-02    2.4e-05
  68500      2.33e-01    2.19e-01      3.29e-04    4.60e-04      4.69e-02    4.39e-02    2.4e-05
  68600      2.62e-01    2.66e-01      2.96e-03    3.12e-03      5.15e-02    5.21e-02    2.4e-05
  68700      2.42e-01    2.57e-01      6.27e-04    7.37e-04      4.87e-02    5.17e-02    2.4e-05
  68800      2.26e-01    2.38e-01      1.18e-03    9.92e-05      4.52e-02    4.78e-02    2.4e-05
  68900      2.39e-01    2.46e-01      2.65e-03    2.43e-03      4.70e-02    4.86e-02    2.4e-05
  69000      2.66e-01    2.51e-01      3.05e-03    3.07e-03      5.22e-02    4.90e-02    2.4e-05
  69100      2.17e-01    1.91e-01      5.03e-05    7.21e-04      4.38e-02    3.83e-02    2.4e-05
  69200      2.38e-01    2.14e-01      4.09e-05    1.20e-03      4.80e-02    4.29e-02    2.4e-05
  69300      2.47e-01    2.56e-01      2.49e-04    1.68e-03      4.96e-02    5.11e-02    2.4e-05
  69400      2.46e-01    2.64e-01      1.45e-03    9.55e-04      4.91e-02    5.29e-02    2.4e-05
  69500      2.70e-01    2.60e-01      7.73e-04    2.37e-03      5.42e-02    5.16e-02    2.4e-05
  69600      2.23e-01    2.45e-01      2.10e-03    1.83e-03      4.41e-02    4.89e-02    2.4e-05
  69700      2.57e-01    2.30e-01      9.98e-04    8.97e-04      5.15e-02    4.61e-02    2.4e-05
  69800      2.61e-01    2.68e-01      4.51e-04    9.53e-04      5.26e-02    5.38e-02    2.4e-05
  69900      2.06e-01    2.73e-01      9.85e-04    8.16e-04      4.14e-02    5.48e-02    2.4e-05
  70000      1.96e-01    1.70e-01      4.30e-04    2.25e-03      4.52e-02    3.79e-02    1.8e-05
  70100      3.09e-01    2.13e-01      3.68e-03    2.41e-03      6.95e-02    4.79e-02    1.8e-05
  70200      2.24e-01    2.16e-01      7.92e-04    6.93e-04      5.16e-02    4.98e-02    1.8e-05
  70300      2.13e-01    2.23e-01      1.38e-04    5.46e-04      4.91e-02    5.14e-02    1.8e-05
  70400      2.30e-01    2.13e-01      2.32e-03    1.06e-03      5.22e-02    4.89e-02    1.8e-05
  70500      1.71e-01    2.09e-01      1.62e-03    1.00e-04      3.88e-02    4.82e-02    1.8e-05
  70600      2.28e-01    2.23e-01      6.20e-04    4.56e-04      5.26e-02    5.14e-02    1.8e-05
  70700      2.28e-01    2.40e-01      1.65e-03    1.70e-03      5.20e-02    5.50e-02    1.8e-05
  70800      2.04e-01    2.28e-01      2.11e-04    8.54e-05      4.70e-02    5.27e-02    1.8e-05
  70900      2.11e-01    2.37e-01      3.10e-03    1.33e-03      4.66e-02    5.45e-02    1.8e-05
  71000      2.08e-01    2.04e-01      2.69e-03    2.35e-03      4.64e-02    4.58e-02    1.8e-05
  71100      2.28e-01    2.16e-01      2.91e-03    2.44e-03      5.11e-02    4.88e-02    1.8e-05
  71200      2.04e-01    2.04e-01      2.24e-03    2.20e-03      4.60e-02    4.61e-02    1.8e-05
  71300      2.32e-01    2.16e-01      1.64e-03    1.31e-03      5.30e-02    4.95e-02    1.8e-05
  71400      2.04e-01    2.20e-01      1.30e-03    1.52e-03      4.67e-02    5.04e-02    1.8e-05
  71500      2.08e-01    2.49e-01      2.38e-03    1.17e-03      4.67e-02    5.73e-02    1.8e-05
  71600      1.67e-01    1.99e-01      1.13e-03    1.60e-03      3.81e-02    4.53e-02    1.8e-05
  71700      2.02e-01    1.96e-01      1.24e-03    2.15e-04      4.63e-02    4.52e-02    1.8e-05
  71800      2.07e-01    2.22e-01      2.21e-04    5.65e-04      4.79e-02    5.12e-02    1.8e-05
  71900      2.01e-01    2.13e-01      2.26e-03    1.26e-03      4.53e-02    4.88e-02    1.8e-05
  72000      2.07e-01    1.94e-01      8.20e-04    1.13e-03      4.76e-02    4.44e-02    1.8e-05
  72100      2.01e-01    2.00e-01      7.90e-04    3.09e-04      4.63e-02    4.63e-02    1.8e-05
  72200      2.07e-01    1.87e-01      2.94e-03    2.40e-03      4.59e-02    4.19e-02    1.8e-05
  72300      2.32e-01    2.32e-01      1.73e-04    1.62e-03      5.36e-02    5.30e-02    1.8e-05
  72400      2.13e-01    1.61e-01      2.27e-04    6.87e-04      4.92e-02    3.71e-02    1.8e-05
  72500      1.93e-01    1.93e-01      1.08e-03    2.43e-03      4.43e-02    4.33e-02    1.8e-05
  72600      2.23e-01    2.46e-01      1.68e-03    1.18e-03      5.10e-02    5.65e-02    1.8e-05
  72700      2.03e-01    1.78e-01      2.47e-04    8.19e-04      4.68e-02    4.10e-02    1.8e-05
  72800      1.67e-01    2.13e-01      2.27e-03    1.80e-03      3.73e-02    4.85e-02    1.8e-05
  72900      2.08e-01    2.04e-01      1.71e-03    1.19e-03      4.73e-02    4.67e-02    1.8e-05
  73000      2.03e-01    1.96e-01      6.95e-04    1.67e-03      4.67e-02    4.47e-02    1.8e-05
  73100      2.22e-01    2.24e-01      2.23e-03    1.92e-03      5.04e-02    5.10e-02    1.8e-05
  73200      1.94e-01    2.20e-01      4.85e-04    7.13e-04      4.48e-02    5.06e-02    1.8e-05
  73300      1.88e-01    2.17e-01      1.84e-03    1.96e-03      4.27e-02    4.92e-02    1.8e-05
  73400      2.04e-01    2.08e-01      1.59e-04    4.65e-04      4.70e-02    4.80e-02    1.8e-05
  73500      2.16e-01    2.09e-01      2.67e-03    6.43e-04      4.84e-02    4.82e-02    1.8e-05
  73600      2.16e-01    2.23e-01      2.36e-03    4.82e-04      4.87e-02    5.15e-02    1.8e-05
  73700      2.03e-01    2.09e-01      1.83e-03    6.18e-04      4.61e-02    4.82e-02    1.8e-05
  73800      2.16e-01    1.88e-01      1.08e-03    3.20e-04      4.97e-02    4.33e-02    1.8e-05
  73900      1.46e-01    2.15e-01      8.66e-04    1.91e-04      3.35e-02    4.96e-02    1.8e-05
  74000      1.80e-01    2.07e-01      1.50e-03    2.22e-03      4.09e-02    4.68e-02    1.8e-05
  74100      2.07e-01    2.17e-01      9.82e-04    4.78e-04      4.75e-02    5.00e-02    1.8e-05
  74200      2.46e-01    2.30e-01      6.41e-04    1.48e-03      5.66e-02    5.27e-02    1.8e-05
  74300      1.99e-01    1.74e-01      1.45e-05    1.54e-03      4.58e-02    3.96e-02    1.8e-05
  74400      2.23e-01    2.22e-01      1.12e-03    8.38e-04      5.13e-02    5.12e-02    1.8e-05
  74500      2.30e-01    2.02e-01      2.22e-03    1.93e-03      5.22e-02    4.59e-02    1.8e-05
  74600      1.78e-01    2.09e-01      6.28e-05    1.12e-03      4.12e-02    4.81e-02    1.8e-05
  74700      1.63e-01    2.18e-01      2.07e-03    2.86e-03      3.64e-02    4.86e-02    1.8e-05
  74800      1.70e-01    2.12e-01      6.57e-04    5.66e-05      3.92e-02    4.90e-02    1.8e-05
  74900      2.22e-01    2.08e-01      8.24e-04    9.66e-04      5.11e-02    4.79e-02    1.8e-05
  75000      1.70e-01    1.91e-01      7.35e-04    2.56e-04      4.48e-02    5.04e-02    1.3e-05
  75100      1.80e-01    1.95e-01      1.58e-03    3.34e-04      4.69e-02    5.16e-02    1.3e-05
  75200      1.93e-01    1.85e-01      1.72e-04    4.55e-05      5.09e-02    4.88e-02    1.3e-05
  75300      1.46e-01    1.90e-01      2.28e-04    7.16e-04      3.86e-02    5.02e-02    1.3e-05
  75400      1.88e-01    1.92e-01      5.87e-05    2.50e-05      4.96e-02    5.07e-02    1.3e-05
  75500      1.72e-01    2.11e-01      6.49e-06    7.74e-05      4.54e-02    5.58e-02    1.3e-05
  75600      1.90e-01    1.75e-01      2.41e-03    1.40e-03      4.87e-02    4.56e-02    1.3e-05
  75700      1.90e-01    1.98e-01      6.76e-04    9.71e-04      5.01e-02    5.21e-02    1.3e-05
  75800      1.35e-01    1.38e-01      2.37e-03    3.03e-03      3.35e-02    3.30e-02    1.3e-05
  75900      1.68e-01    1.93e-01      9.48e-04    8.29e-04      4.42e-02    5.09e-02    1.3e-05
  76000      1.89e-01    1.60e-01      4.00e-04    2.37e-04      5.00e-02    4.23e-02    1.3e-05
